day,month,hour,minute,load
4,0,14.0,0.0,72.72
4,0,14.0,15.0,64.9
4,0,14.0,30.0,64.84
4,0,14.0,45.0,71.89
4,0,15.0,0.0,71.6
4,0,15.0,15.0,64.04
4,0,15.0,30.0,71.12
4,0,15.0,45.0,70.48
4,0,16.0,0.0,70.41
4,0,16.0,15.0,69.33
4,0,16.0,30.0,77.28
4,0,16.0,45.0,76.32
4,0,17.0,0.0,75.45
4,0,17.0,15.0,61.76
4,0,17.0,30.0,75.32
4,0,17.0,45.0,75.45
4,0,18.0,0.0,76.41
4,0,18.0,15.0,77.43
4,0,18.0,30.0,78.23
4,0,18.0,45.0,79.49
4,0,19.0,0.0,79.96
4,0,19.0,15.0,79.78
4,0,19.0,30.0,78.78
4,0,19.0,45.0,67.67
4,0,20.0,0.0,77.51
4,0,20.0,15.0,67.79
4,0,20.0,30.0,66.77
4,0,20.0,45.0,69.53
4,0,21.0,0.0,67.93
4,0,21.0,15.0,68.15
4,0,21.0,30.0,67.77
4,0,21.0,45.0,60.03
4,0,22.0,0.0,63.36
4,0,22.0,15.0,65.42
4,0,22.0,30.0,66.88
4,0,22.0,45.0,61.77
4,0,23.0,0.0,61.91
4,0,23.0,15.0,61.4
4,0,23.0,30.0,55.5
4,0,23.0,45.0,61.19
5,0,0.0,0.0,61.0
5,0,0.0,15.0,56.29
5,0,0.0,30.0,56.39
5,0,0.0,45.0,56.34
5,0,1.0,0.0,56.06
5,0,1.0,15.0,48.72
5,0,1.0,30.0,56.1
5,0,1.0,45.0,56.11
5,0,2.0,0.0,52.12
5,0,2.0,15.0,53.06
5,0,2.0,30.0,52.83
5,0,2.0,45.0,44.8
5,0,3.0,0.0,52.95
5,0,3.0,15.0,53.16
5,0,3.0,30.0,52.97
5,0,3.0,45.0,53.09
5,0,4.0,0.0,52.95
5,0,4.0,15.0,52.65
5,0,4.0,30.0,52.88
5,0,4.0,45.0,53.19
5,0,5.0,0.0,53.04
5,0,5.0,15.0,53.23
5,0,5.0,30.0,53.9
5,0,5.0,45.0,54.27
5,0,6.0,0.0,54.62
5,0,6.0,15.0,54.74
5,0,6.0,30.0,55.16
5,0,6.0,45.0,55.43
5,0,7.0,0.0,55.5
5,0,7.0,15.0,55.1
5,0,7.0,30.0,54.19
5,0,7.0,45.0,53.79
5,0,8.0,0.0,52.99
5,0,8.0,15.0,53.35
5,0,8.0,30.0,57.41
5,0,8.0,45.0,50.43
5,0,9.0,0.0,60.26
5,0,9.0,15.0,60.8
5,0,9.0,30.0,58.62
5,0,9.0,45.0,58.7
5,0,10.0,0.0,62.98
5,0,10.0,15.0,56.53
5,0,10.0,30.0,62.71
5,0,10.0,45.0,56.98
5,0,11.0,0.0,62.64
5,0,11.0,15.0,61.98
5,0,11.0,30.0,62.52
5,0,11.0,45.0,61.73
5,0,12.0,0.0,62.03
5,0,12.0,15.0,60.93
5,0,12.0,30.0,61.28
5,0,12.0,45.0,61.66
5,0,13.0,0.0,61.9
5,0,13.0,15.0,55.93
5,0,13.0,30.0,63.05
5,0,13.0,45.0,65.9
5,0,14.0,0.0,66.01
5,0,14.0,15.0,65.97
5,0,14.0,30.0,68.04
5,0,14.0,45.0,68.04
5,0,15.0,0.0,68.23
5,0,15.0,15.0,68.0
5,0,15.0,30.0,67.86
5,0,15.0,45.0,68.22
5,0,16.0,0.0,70.2
5,0,16.0,15.0,65.71
5,0,16.0,30.0,67.04
5,0,16.0,45.0,67.01
5,0,17.0,0.0,66.86
5,0,17.0,15.0,66.79
5,0,17.0,30.0,66.26
5,0,17.0,45.0,66.41
5,0,18.0,0.0,67.28
5,0,18.0,15.0,67.23
5,0,18.0,30.0,67.67
5,0,18.0,45.0,71.49
5,0,19.0,0.0,74.18
5,0,19.0,15.0,74.75
5,0,19.0,30.0,74.51
5,0,19.0,45.0,74.23
5,0,20.0,0.0,73.9
5,0,20.0,15.0,73.67
5,0,20.0,30.0,74.34
5,0,20.0,45.0,73.72
5,0,21.0,0.0,74.72
5,0,21.0,15.0,73.09
5,0,21.0,30.0,68.85
5,0,21.0,45.0,68.43
5,0,22.0,0.0,68.15
5,0,22.0,15.0,67.31
5,0,22.0,30.0,69.4
5,0,22.0,45.0,69.02
5,0,23.0,0.0,68.62
5,0,23.0,15.0,60.79
5,0,23.0,30.0,63.57
5,0,23.0,45.0,63.53
6,0,0.0,0.0,63.29
6,0,0.0,15.0,58.94
6,0,0.0,30.0,58.22
6,0,0.0,45.0,58.29
6,0,1.0,0.0,58.19
6,0,1.0,15.0,58.09
6,0,1.0,30.0,54.95
6,0,1.0,45.0,54.51
6,0,2.0,0.0,55.07
6,0,2.0,15.0,54.82
6,0,2.0,30.0,54.7
6,0,2.0,45.0,54.16
6,0,3.0,0.0,53.98
6,0,3.0,15.0,47.63
6,0,3.0,30.0,49.82
6,0,3.0,45.0,49.78
6,0,4.0,0.0,49.69
6,0,4.0,15.0,49.79
6,0,4.0,30.0,49.87
6,0,4.0,45.0,49.82
6,0,5.0,0.0,49.75
6,0,5.0,15.0,50.25
6,0,5.0,30.0,50.28
6,0,5.0,45.0,50.24
6,0,6.0,0.0,50.43
6,0,6.0,15.0,50.58
6,0,6.0,30.0,51.28
6,0,6.0,45.0,50.78
6,0,7.0,0.0,50.55
6,0,7.0,15.0,50.17
6,0,7.0,30.0,50.66
6,0,7.0,45.0,45.7
6,0,8.0,0.0,46.13
6,0,8.0,15.0,50.17
6,0,8.0,30.0,55.51
6,0,8.0,45.0,54.37
6,0,9.0,0.0,59.67
6,0,9.0,15.0,60.08
6,0,9.0,30.0,54.89
6,0,9.0,45.0,59.9
6,0,10.0,0.0,59.9
6,0,10.0,15.0,55.49
6,0,10.0,30.0,63.84
6,0,10.0,45.0,64.27
